topology_build_id	topology_relationship_id	source_identity_set_id	assertion_id	source_assertion_registration_id	registration_unit_id	identity_kind	participant_role	source_namespace	source_identity_count	lossiness_status	resolution_status	source_identity_set_status	source_identity_expansion_status	statistical_testing_status	validation_status
mark_phase4_corpus_6tep_v1_topology_build_v1	topology_rel_27a8442cff1605c9926c5834	sis_27007fd6392972f4f326f99a	ar_4a4cc3cb97be1d05a8eff9bac8e9de86b2facf5e755923ad20eac2c503b04ccb		mark_phase3_canonical_vap_q3_ERR10619225			vap_sample_id		lossless_by_reference	resolved		available_by_source_identity_set_reference	requires_source_identity_expansion	passed
mark_phase4_corpus_6tep_v1_topology_build_v1	topology_rel_27a8442cff1605c9926c5834	sis_2ae5b4e5f148c1ad4c962800	ar_495f82e875b3e1e8dc2caa922bca0b272daa4c242d7a62aae15616509ca31d68		mark_phase3_canonical_vap_q3_ERR10619225			vap_sample_id		lossless_by_reference	resolved		available_by_source_identity_set_reference	requires_source_identity_expansion	passed
mark_phase4_corpus_6tep_v1_topology_build_v1	topology_rel_27a8442cff1605c9926c5834	sis_2f9ad1b0c706e9beac6cc418	ar_4b9cbd2119119255ce053ae1410b87bb7529c784af31c9aee23fb8017df81238		mark_phase3_canonical_vap_median_ERR10619300			vap_sample_id		lossless_by_reference	resolved		available_by_source_identity_set_reference	requires_source_identity_expansion	passed
mark_phase4_corpus_6tep_v1_topology_build_v1	topology_rel_27a8442cff1605c9926c5834	sis_2f9c6cf6731ee978c5d7c1d8	ar_3664b859033acdddc0a78213516582dc0ff31251efedd753ebbe0cce05b8d232		mark_phase3_canonical_vap_median_ERR10619300			vap_sample_id		lossless_by_reference	resolved		available_by_source_identity_set_reference	requires_source_identity_expansion	passed
mark_phase4_corpus_6tep_v1_topology_build_v1	topology_rel_27a8442cff1605c9926c5834	sis_3715095ee357afad89732300	ar_e1588489412735edc70d5e2d3c6f31f136571c49fc368a13f73af55631a23ea9		mark_phase3_canonical_vap_q3_ERR10619225			vap_sample_id		lossless_by_reference	resolved		available_by_source_identity_set_reference	requires_source_identity_expansion	passed
mark_phase4_corpus_6tep_v1_topology_build_v1	topology_rel_27a8442cff1605c9926c5834	sis_37b98ac562448ba1da11348d	ar_f83d0499b1443ad19e3a1cf64763954b6b470ab85c82f3e474fcc0e3c6fc98a8		mark_phase3_canonical_vap_median_ERR10619300			vap_sample_id		lossless_by_reference	resolved		available_by_source_identity_set_reference	requires_source_identity_expansion	passed
mark_phase4_corpus_6tep_v1_topology_build_v1	topology_rel_27a8442cff1605c9926c5834	sis_3b12a656ca1c667b79bfcf20	ar_c915daffa16f084c26236a1da0942e68a6f6a6b638f7f4722625ab3d472a8353		mark_phase3_canonical_vap_median_ERR10619300			vap_sample_id		lossless_by_reference	resolved		available_by_source_identity_set_reference	requires_source_identity_expansion	passed
mark_phase4_corpus_6tep_v1_topology_build_v1	topology_rel_27a8442cff1605c9926c5834	sis_3d4e4151aa8b6f7c15383f05	ar_6a395fa20c2fc96f01a41ba134561b5a1c68133a9fcd31797a935661fc27e665		mark_phase3_canonical_vap_median_ERR10619300			vap_sample_id		lossless_by_reference	resolved		available_by_source_identity_set_reference	requires_source_identity_expansion	passed
mark_phase4_corpus_6tep_v1_topology_build_v1	topology_rel_27a8442cff1605c9926c5834	sis_41a75add7eef92746e0f3a70	ar_884ce3361bee7b2641855401190c77690b5aecad7d9ac797174593cb84d73a03		mark_phase3_canonical_vap_hg002			vap_sample_id		lossless_by_reference	resolved		available_by_source_identity_set_reference	requires_source_identity_expansion	passed
mark_phase4_corpus_6tep_v1_topology_build_v1	topology_rel_27a8442cff1605c9926c5834	sis_423c1bc901dfdace8398505a	ar_92396a374befe7c3f958ad911a6214334345e0b853a116a449e590045f04716f		mark_phase3_canonical_vap_median_ERR10619300			vap_sample_id		lossless_by_reference	resolved		available_by_source_identity_set_reference	requires_source_identity_expansion	passed
mark_phase4_corpus_6tep_v1_topology_build_v1	topology_rel_27a8442cff1605c9926c5834	sis_474e3c446e7f5548d6997a09	ar_2f4d4171bc1f184e8ab1ebfa1cdab056f204dddad8984c46b906d495690c2a83		mark_phase3_canonical_vap_median_ERR10619300			vap_sample_id		lossless_by_reference	resolved		available_by_source_identity_set_reference	requires_source_identity_expansion	passed
mark_phase4_corpus_6tep_v1_topology_build_v1	topology_rel_27a8442cff1605c9926c5834	sis_4a9282ad67952a4330649909	ar_f660a413440f9a43d96b4211b92d15c2a5bb682ce342be73b39982cc6342b573		mark_phase3_canonical_vap_q1_ERR10619212			vap_sample_id		lossless_by_reference	resolved		available_by_source_identity_set_reference	requires_source_identity_expansion	passed
mark_phase4_corpus_6tep_v1_topology_build_v1	topology_rel_27a8442cff1605c9926c5834	sis_545017f6a6db5847d5d3b39b	ar_cbf12ec6a12eb2b299b95f205deb5d22bfcdf06072e6c6a2f97a722a64ffcedc		mark_phase3_canonical_vap_q3_ERR10619225			vap_sample_id		lossless_by_reference	resolved		available_by_source_identity_set_reference	requires_source_identity_expansion	passed
mark_phase4_corpus_6tep_v1_topology_build_v1	topology_rel_27a8442cff1605c9926c5834	sis_5aed005586155554e6e0220a	ar_f64cb4134b38291f0ac2423be52d6e3c8a7b6a56d1fce48e9a514ec08182f8bc		mark_phase3_canonical_vap_q3_ERR10619225			vap_sample_id		lossless_by_reference	resolved		available_by_source_identity_set_reference	requires_source_identity_expansion	passed
mark_phase4_corpus_6tep_v1_topology_build_v1	topology_rel_27a8442cff1605c9926c5834	sis_61c33eb00628f50a45367620	ar_fe242a404011f9fc256699c453053410345b009bbbd9b59856df5f9a5265c7a7		mark_phase3_canonical_vap_q1_ERR10619212			vap_sample_id		lossless_by_reference	resolved		available_by_source_identity_set_reference	requires_source_identity_expansion	passed
