assertion_id	source_assertion_registration_id	participant_role	participant_value	participant_source	source_identity_set_id	participant_identity_kind	participant_source_namespace	participant_count	participant_resolution_status
ar_1e4ecc84be39c84c56b34460cb6e2e285dc9721d46e3190982516c7f2dc58972	c4be66409992e0fa3cd72efed3f5e6e22103d239021a2e9758ddb376af14a469	gene	source_identity_set:sis_b4283a42c1ea62b32c63d0fa	source_identity_set_reference	sis_b4283a42c1ea62b32c63d0fa	gene	vap_ensembl_gene_id	3733	resolved_from_source_identity_set
ar_1e4ecc84be39c84c56b34460cb6e2e285dc9721d46e3190982516c7f2dc58972	c4be66409992e0fa3cd72efed3f5e6e22103d239021a2e9758ddb376af14a469	gene	source_identity_set:sis_43bc9912546f7b9761627564	source_identity_set_reference	sis_43bc9912546f7b9761627564	gene	vap_gene_symbol	3733	resolved_from_source_identity_set
ar_1e4ecc84be39c84c56b34460cb6e2e285dc9721d46e3190982516c7f2dc58972	c4be66409992e0fa3cd72efed3f5e6e22103d239021a2e9758ddb376af14a469	sample	source_identity_set:sis_8b2ba202411f7e3a6505aad6	source_identity_set_reference	sis_8b2ba202411f7e3a6505aad6	sample	vap_sample_id	1	resolved_from_source_identity_set
ar_1e4ecc84be39c84c56b34460cb6e2e285dc9721d46e3190982516c7f2dc58972	c4be66409992e0fa3cd72efed3f5e6e22103d239021a2e9758ddb376af14a469	variant	source_identity_set:sis_f69ef18e7bd038e43f82c562	source_identity_set_reference	sis_f69ef18e7bd038e43f82c562	variant	vap_variant_id	3733	resolved_from_source_identity_set
ar_266e6354494ac1939729ddeb49e0676454acd6f9098fdd904ebb84deb006da13	b0bc75522990d62ae916320c1e5183a8c3f8e37839de9316be52f46601fadf26	evidence_source	source_identity_set:sis_65c5d3e94260b47a4d2e7c70	source_identity_set_reference	sis_65c5d3e94260b47a4d2e7c70	evidence_source	gsc_source_id	3885	resolved_from_source_identity_set
ar_266e6354494ac1939729ddeb49e0676454acd6f9098fdd904ebb84deb006da13	b0bc75522990d62ae916320c1e5183a8c3f8e37839de9316be52f46601fadf26	gene	source_identity_set:sis_860eeaa8d13253898615df94	source_identity_set_reference	sis_860eeaa8d13253898615df94	gene	gsc_ensembl_gene_id	3885	resolved_from_source_identity_set
ar_266e6354494ac1939729ddeb49e0676454acd6f9098fdd904ebb84deb006da13	b0bc75522990d62ae916320c1e5183a8c3f8e37839de9316be52f46601fadf26	gene_label	source_identity_set:sis_f5660b6e5c892e6be75cee89	source_identity_set_reference	sis_f5660b6e5c892e6be75cee89	gene_label	gsc_gene_symbol	3885	resolved_from_source_identity_set
ar_266e6354494ac1939729ddeb49e0676454acd6f9098fdd904ebb84deb006da13	b0bc75522990d62ae916320c1e5183a8c3f8e37839de9316be52f46601fadf26	phenotype	source_identity_set:sis_9f02a6f33432d17cb6b35937	source_identity_set_reference	sis_9f02a6f33432d17cb6b35937	phenotype	gsc_phenotype	3885	resolved_from_source_identity_set
ar_266e6354494ac1939729ddeb49e0676454acd6f9098fdd904ebb84deb006da13	b0bc75522990d62ae916320c1e5183a8c3f8e37839de9316be52f46601fadf26	provenance	source_identity_set:sis_c020e29e67e52835e36cc5bf	source_identity_set_reference	sis_c020e29e67e52835e36cc5bf	provenance	gsc_provenance_id	3885	resolved_from_source_identity_set
ar_266e6354494ac1939729ddeb49e0676454acd6f9098fdd904ebb84deb006da13	b0bc75522990d62ae916320c1e5183a8c3f8e37839de9316be52f46601fadf26	source_gene	source_identity_set:sis_e6a58e1d57f66318186c003c	source_identity_set_reference	sis_e6a58e1d57f66318186c003c	source_gene	gsc_source_gene_id	3885	resolved_from_source_identity_set
ar_272c698ccec0014deca9b74e6cf1f31aaf2b651103e636ba8ce2f40a3ee37029	e53214585a2e995f5692e9132c95162536357e2eb6e6eaabaeee19cbe195dc9f	gene	source_identity_set:sis_07ff6fd724ce62d7bd8c480b	source_identity_set_reference	sis_07ff6fd724ce62d7bd8c480b	gene	vap_ensembl_gene_id	4609098	resolved_from_source_identity_set
ar_272c698ccec0014deca9b74e6cf1f31aaf2b651103e636ba8ce2f40a3ee37029	e53214585a2e995f5692e9132c95162536357e2eb6e6eaabaeee19cbe195dc9f	gene	source_identity_set:sis_2ff7886495c5b9ad514e2452	source_identity_set_reference	sis_2ff7886495c5b9ad514e2452	gene	vap_gene_symbol	4609098	resolved_from_source_identity_set
ar_272c698ccec0014deca9b74e6cf1f31aaf2b651103e636ba8ce2f40a3ee37029	e53214585a2e995f5692e9132c95162536357e2eb6e6eaabaeee19cbe195dc9f	sample	source_identity_set:sis_877501618dcdb70554025c7e	source_identity_set_reference	sis_877501618dcdb70554025c7e	sample	vap_sample_id	1	resolved_from_source_identity_set
ar_272c698ccec0014deca9b74e6cf1f31aaf2b651103e636ba8ce2f40a3ee37029	e53214585a2e995f5692e9132c95162536357e2eb6e6eaabaeee19cbe195dc9f	variant	source_identity_set:sis_0ce8e4dbe2cdc69ff1f57e12	source_identity_set_reference	sis_0ce8e4dbe2cdc69ff1f57e12	variant	vap_variant_id	4609098	resolved_from_source_identity_set
