source_identity_set_id	assertion_id	source_assertion_registration_id	registration_unit_id	identity_kind	participant_role	source_namespace	source_identity_count
sis_72b55b89291f2221dfb90a66	ar_5f506986f6fe4b18d42ff53ed01761f79ac2e3dad4f7f52e42d86e591bc2c0f7	70858da6ffb936e7c901c981570ea14fb7cc9221ee001c58ecd058099bc5a0db	mark_phase3_canonical_vap_q3_ERR10619225	gene	gene	vap_ensembl_gene_id	27820
sis_f58bb6cb582fdf7949f1c0ab	ar_5f506986f6fe4b18d42ff53ed01761f79ac2e3dad4f7f52e42d86e591bc2c0f7	70858da6ffb936e7c901c981570ea14fb7cc9221ee001c58ecd058099bc5a0db	mark_phase3_canonical_vap_q3_ERR10619225	gene	gene	vap_gene_symbol	27820
sis_ff111d79193606338460a8f3	ar_5f506986f6fe4b18d42ff53ed01761f79ac2e3dad4f7f52e42d86e591bc2c0f7	70858da6ffb936e7c901c981570ea14fb7cc9221ee001c58ecd058099bc5a0db	mark_phase3_canonical_vap_q3_ERR10619225	sample	sample	vap_sample_id	1
sis_c43fdf6f14421409300b80da	ar_5f506986f6fe4b18d42ff53ed01761f79ac2e3dad4f7f52e42d86e591bc2c0f7	70858da6ffb936e7c901c981570ea14fb7cc9221ee001c58ecd058099bc5a0db	mark_phase3_canonical_vap_q3_ERR10619225	variant	variant	vap_variant_id	27820
sis_76044808da340943a9c7a7f3	ar_6a395fa20c2fc96f01a41ba134561b5a1c68133a9fcd31797a935661fc27e665	e684af977a956c32cf4c806f581712618591bd137df7d892059a6ad8e9da8216	mark_phase3_canonical_vap_median_ERR10619300	gene	gene	vap_ensembl_gene_id	736468
sis_b2cf59fdc5515c9f1f0f9eb2	ar_6a395fa20c2fc96f01a41ba134561b5a1c68133a9fcd31797a935661fc27e665	e684af977a956c32cf4c806f581712618591bd137df7d892059a6ad8e9da8216	mark_phase3_canonical_vap_median_ERR10619300	gene	gene	vap_gene_symbol	736468
sis_3d4e4151aa8b6f7c15383f05	ar_6a395fa20c2fc96f01a41ba134561b5a1c68133a9fcd31797a935661fc27e665	e684af977a956c32cf4c806f581712618591bd137df7d892059a6ad8e9da8216	mark_phase3_canonical_vap_median_ERR10619300	sample	sample	vap_sample_id	1
sis_41fc67d2fb066e0588b471e2	ar_6a395fa20c2fc96f01a41ba134561b5a1c68133a9fcd31797a935661fc27e665	e684af977a956c32cf4c806f581712618591bd137df7d892059a6ad8e9da8216	mark_phase3_canonical_vap_median_ERR10619300	variant	variant	vap_variant_id	736468
sis_c059c1e2abf689079b3ed6cd	ar_6add977aefe38ac43fe9b5beb4279d798a1bc0d2bf16eaba7d7ed82c78ec75a2	e2e218bf501ee115a7fe83b1b41dac94268155d5c59a5ab018fb593b20dbdb60	mark_phase3_canonical_vap_q1_ERR10619212	gene	gene	vap_ensembl_gene_id	878368
sis_ca1a56ecebffb0d95ffbce46	ar_6add977aefe38ac43fe9b5beb4279d798a1bc0d2bf16eaba7d7ed82c78ec75a2	e2e218bf501ee115a7fe83b1b41dac94268155d5c59a5ab018fb593b20dbdb60	mark_phase3_canonical_vap_q1_ERR10619212	gene	gene	vap_gene_symbol	878368
sis_f95d6976cbb5faf8ae564899	ar_6add977aefe38ac43fe9b5beb4279d798a1bc0d2bf16eaba7d7ed82c78ec75a2	e2e218bf501ee115a7fe83b1b41dac94268155d5c59a5ab018fb593b20dbdb60	mark_phase3_canonical_vap_q1_ERR10619212	sample	sample	vap_sample_id	1
sis_60cbca1d8b28fa99825f25fd	ar_6add977aefe38ac43fe9b5beb4279d798a1bc0d2bf16eaba7d7ed82c78ec75a2	e2e218bf501ee115a7fe83b1b41dac94268155d5c59a5ab018fb593b20dbdb60	mark_phase3_canonical_vap_q1_ERR10619212	variant	variant	vap_variant_id	878368
sis_4e1669630dcf09ba61306c30	ar_76b9749c5d00ec7beb1ce39b01b00a8f5dd3195bb1d40178e62713beb752f388	43eecf1345d2adfb6cb05920b7a4f9e3a84751ac7117f093c6a07e8b4831716e	mark_phase3_canonical_gsc_mitochondrial_disease	evidence_source	evidence_source	gsc_source_id	3885
sis_a28f23ad014b80395ba439d6	ar_76b9749c5d00ec7beb1ce39b01b00a8f5dd3195bb1d40178e62713beb752f388	43eecf1345d2adfb6cb05920b7a4f9e3a84751ac7117f093c6a07e8b4831716e	mark_phase3_canonical_gsc_mitochondrial_disease	gene	gene	gsc_ensembl_gene_id	3885
sis_404dbef93fe051d7845f0b36	ar_76b9749c5d00ec7beb1ce39b01b00a8f5dd3195bb1d40178e62713beb752f388	43eecf1345d2adfb6cb05920b7a4f9e3a84751ac7117f093c6a07e8b4831716e	mark_phase3_canonical_gsc_mitochondrial_disease	gene_label	gene_label	gsc_gene_symbol	3885
sis_21a425dfc625c897bb71dcda	ar_76b9749c5d00ec7beb1ce39b01b00a8f5dd3195bb1d40178e62713beb752f388	43eecf1345d2adfb6cb05920b7a4f9e3a84751ac7117f093c6a07e8b4831716e	mark_phase3_canonical_gsc_mitochondrial_disease	phenotype	phenotype	gsc_phenotype	3885
sis_b488b0e7a24b8aa20a4c09c4	ar_76b9749c5d00ec7beb1ce39b01b00a8f5dd3195bb1d40178e62713beb752f388	43eecf1345d2adfb6cb05920b7a4f9e3a84751ac7117f093c6a07e8b4831716e	mark_phase3_canonical_gsc_mitochondrial_disease	provenance	provenance	gsc_provenance_id	3885
sis_a6be0cb39e19fd7a877f5789	ar_76b9749c5d00ec7beb1ce39b01b00a8f5dd3195bb1d40178e62713beb752f388	43eecf1345d2adfb6cb05920b7a4f9e3a84751ac7117f093c6a07e8b4831716e	mark_phase3_canonical_gsc_mitochondrial_disease	semantic_channel	semantic_channel	gsc_semantic_channel	3885
sis_17ffd89fe7ae37af6b3fdff0	ar_76b9749c5d00ec7beb1ce39b01b00a8f5dd3195bb1d40178e62713beb752f388	43eecf1345d2adfb6cb05920b7a4f9e3a84751ac7117f093c6a07e8b4831716e	mark_phase3_canonical_gsc_mitochondrial_disease	source_gene	source_gene	gsc_source_gene_id	3885
sis_58734a74332e3aa7b70b656b	ar_884ce3361bee7b2641855401190c77690b5aecad7d9ac797174593cb84d73a03	6e64f0af7158409348f67a1cbcf62a4545f16a8035703854faa252123744b7e0	mark_phase3_canonical_vap_hg002	gene	gene	vap_ensembl_gene_id	27486
sis_beed7b977f7086d663124f22	ar_884ce3361bee7b2641855401190c77690b5aecad7d9ac797174593cb84d73a03	6e64f0af7158409348f67a1cbcf62a4545f16a8035703854faa252123744b7e0	mark_phase3_canonical_vap_hg002	gene	gene	vap_gene_symbol	27486
sis_41a75add7eef92746e0f3a70	ar_884ce3361bee7b2641855401190c77690b5aecad7d9ac797174593cb84d73a03	6e64f0af7158409348f67a1cbcf62a4545f16a8035703854faa252123744b7e0	mark_phase3_canonical_vap_hg002	sample	sample	vap_sample_id	1
sis_8f0e52c4537035f8f1444a11	ar_884ce3361bee7b2641855401190c77690b5aecad7d9ac797174593cb84d73a03	6e64f0af7158409348f67a1cbcf62a4545f16a8035703854faa252123744b7e0	mark_phase3_canonical_vap_hg002	variant	variant	vap_variant_id	27486
