producer	identity_route	source_identity_set_rows	represented_source_identity_count	topology_expansion_rows	source_namespaces	audit_status_summary	requires_mark_deep_trace	audit_status	audit_note
GSC	gene_brokerage	22	86846	88	gsc_ensembl_gene_id;gsc_gene_symbol;gsc_source_gene_id	"{""passed_compact_handle_preserved"": 22}"	true	passed_tier1_compact_handles	Tier 1 validates compact handle survival; MARK is required for value-level TEP/SQLite provenance. Gene route must be deep-traced to confirm gene_id/gene_namespace/bridge provenance where available.
GSC	phenotype_or_overlay_brokerage	10	38852	40	gsc_phenotype	"{""passed_compact_handle_preserved"": 10}"	false	passed_tier1_compact_handles	
GSC	producer_or_observation_brokerage	12	48874	48	gsc_provenance_id;gsc_semantic_channel;gsc_source_id	"{""passed_compact_handle_preserved"": 12}"	false	passed_tier1_compact_handles	
VAP	default_coordinate_or_variant_brokerage	40	49255528	160	vap_variant_id	"{""passed_compact_handle_preserved"": 40}"	true	passed_tier1_compact_handles	Tier 1 validates compact handle survival; MARK is required for value-level TEP/SQLite provenance. Coordinate/variant route must be deep-traced to confirm reference-build/contig/start/end/ref/alt substrate.
VAP	gene_brokerage	80	98511056	320	vap_ensembl_gene_id;vap_gene_symbol	"{""passed_compact_handle_preserved"": 80}"	true	passed_tier1_compact_handles	Tier 1 validates compact handle survival; MARK is required for value-level TEP/SQLite provenance. Gene route must be deep-traced to confirm gene_id/gene_namespace/bridge provenance where available.
VAP	producer_or_observation_brokerage	40	40	160	vap_sample_id	"{""passed_compact_handle_preserved"": 40}"	false	passed_tier1_compact_handles	
