sentinel_rank_within_group	producer	identity_route	source_namespace	source_identity_set_id	assertion_id	source_assertion_registration_id	source_identity_table_reference	source_identity_filter	source_identity_count	topology_expansion_row_count	tier1_status	requires_mark_deep_trace	mark_trace_question
2	GSC	gene_brokerage	gsc_source_gene_id	sis_e2d3c4d851d818edeae29454	ar_b7b06ffb4f86388b850fc87ad681f2028771e8e216f407a5d3a195830d39f5f3	f6ceb91c3307a0a84290cc2585c9e0b1cdc82f435e4eaff192b5c598ed445946	mark_phase3_canonical_gsc_epilepsy:source_identities	assertion_registration_id=f6ceb91c3307a0a84290cc2585c9e0b1cdc82f435e4eaff192b5c598ed445946;identity_kind=source_gene;participant_role=source_gene;source_namespace=gsc_source_gene_id	4398	4	passed_compact_handle_preserved	true	On MARK, trace gsc_source_gene_id through TEP/SQLite to confirm source gene value, declared namespace, identifier-map or adapter-resolution provenance, and release/phenotype scope when applicable.
1	GSC	gene_brokerage	gsc_gene_symbol	sis_2164cb8fc78d1da857441408	ar_c2651bd4ac55176bf518bd911c740b8fcb46e1f6c11b23e894f16c2dcd7c526d	0958865944cfc4551a2a9d70cf8587a80761d10f60feaa9317c43dba3899bff3	mark_phase3_canonical_gsc_epilepsy:source_identities	assertion_registration_id=0958865944cfc4551a2a9d70cf8587a80761d10f60feaa9317c43dba3899bff3;identity_kind=gene_label;participant_role=gene_label;source_namespace=gsc_gene_symbol	3543	4	passed_compact_handle_preserved	true	On MARK, trace gsc_gene_symbol through TEP/SQLite to confirm source gene value, declared namespace, identifier-map or adapter-resolution provenance, and release/phenotype scope when applicable.
2	GSC	gene_brokerage	gsc_gene_symbol	sis_4e8a1a45c27177b27a3724a1	ar_b1eae61a4cfaac1314915987e13aabb44ad26e5e6bbbb0c30b978fffd5c49a89	550655acd592399532576b4a11550e944b718b143a480c316eea2a5762317a7a	mark_phase3_canonical_gsc_epilepsy:source_identities	assertion_registration_id=550655acd592399532576b4a11550e944b718b143a480c316eea2a5762317a7a;identity_kind=gene_label;participant_role=gene_label;source_namespace=gsc_gene_symbol	4405	4	passed_compact_handle_preserved	true	On MARK, trace gsc_gene_symbol through TEP/SQLite to confirm source gene value, declared namespace, identifier-map or adapter-resolution provenance, and release/phenotype scope when applicable.
1	GSC	phenotype_or_overlay_brokerage	gsc_phenotype	sis_259bb5ce60af87dbbcad3083	ar_c2651bd4ac55176bf518bd911c740b8fcb46e1f6c11b23e894f16c2dcd7c526d	0958865944cfc4551a2a9d70cf8587a80761d10f60feaa9317c43dba3899bff3	mark_phase3_canonical_gsc_epilepsy:source_identities	assertion_registration_id=0958865944cfc4551a2a9d70cf8587a80761d10f60feaa9317c43dba3899bff3;identity_kind=phenotype;participant_role=phenotype;source_namespace=gsc_phenotype	3543	4	passed_compact_handle_preserved	false	On MARK if needed, trace gsc_phenotype to confirm phenotype/release/source scope remains attached to gene or overlay evidence.
2	GSC	phenotype_or_overlay_brokerage	gsc_phenotype	sis_c22c7cb51109959a4b4e283f	ar_b7b06ffb4f86388b850fc87ad681f2028771e8e216f407a5d3a195830d39f5f3	f6ceb91c3307a0a84290cc2585c9e0b1cdc82f435e4eaff192b5c598ed445946	mark_phase3_canonical_gsc_epilepsy:source_identities	assertion_registration_id=f6ceb91c3307a0a84290cc2585c9e0b1cdc82f435e4eaff192b5c598ed445946;identity_kind=phenotype;participant_role=phenotype;source_namespace=gsc_phenotype	4405	4	passed_compact_handle_preserved	false	On MARK if needed, trace gsc_phenotype to confirm phenotype/release/source scope remains attached to gene or overlay evidence.
1	GSC	producer_or_observation_brokerage	gsc_source_id	sis_4e1669630dcf09ba61306c30	ar_76b9749c5d00ec7beb1ce39b01b00a8f5dd3195bb1d40178e62713beb752f388	43eecf1345d2adfb6cb05920b7a4f9e3a84751ac7117f093c6a07e8b4831716e	mark_phase3_canonical_gsc_mitochondrial_disease:source_identities	assertion_registration_id=43eecf1345d2adfb6cb05920b7a4f9e3a84751ac7117f093c6a07e8b4831716e;identity_kind=evidence_source;participant_role=evidence_source;source_namespace=gsc_source_id	3885	4	passed_compact_handle_preserved	false	On MARK if needed, trace gsc_source_id to confirm producer/run/sample/source/provenance scope remains attached.
2	GSC	producer_or_observation_brokerage	gsc_source_id	sis_a7aab1a3a976503d7d292c83	ar_b1eae61a4cfaac1314915987e13aabb44ad26e5e6bbbb0c30b978fffd5c49a89	550655acd592399532576b4a11550e944b718b143a480c316eea2a5762317a7a	mark_phase3_canonical_gsc_epilepsy:source_identities	assertion_registration_id=550655acd592399532576b4a11550e944b718b143a480c316eea2a5762317a7a;identity_kind=evidence_source;participant_role=evidence_source;source_namespace=gsc_source_id	4405	4	passed_compact_handle_preserved	false	On MARK if needed, trace gsc_source_id to confirm producer/run/sample/source/provenance scope remains attached.
1	GSC	producer_or_observation_brokerage	gsc_provenance_id	sis_3e4e7be8494c9a9d8388f9bc	ar_01023d694b99a14728d9d5686f5d87ca6ee8c55125dcdda3c6565f9df0ef1ecf	ccf2ed6fb745d3fff803b9444dd0ff1c8fa50d967a96c2de374930daca25a430	mark_phase3_canonical_gsc_epilepsy:source_identities	assertion_registration_id=ccf2ed6fb745d3fff803b9444dd0ff1c8fa50d967a96c2de374930daca25a430;identity_kind=provenance;participant_role=provenance;source_namespace=gsc_provenance_id	3543	4	passed_compact_handle_preserved	false	On MARK if needed, trace gsc_provenance_id to confirm producer/run/sample/source/provenance scope remains attached.
2	GSC	producer_or_observation_brokerage	gsc_provenance_id	sis_a81a34dfa1291e854f5aa725	ar_b1eae61a4cfaac1314915987e13aabb44ad26e5e6bbbb0c30b978fffd5c49a89	550655acd592399532576b4a11550e944b718b143a480c316eea2a5762317a7a	mark_phase3_canonical_gsc_epilepsy:source_identities	assertion_registration_id=550655acd592399532576b4a11550e944b718b143a480c316eea2a5762317a7a;identity_kind=provenance;participant_role=provenance;source_namespace=gsc_provenance_id	4405	4	passed_compact_handle_preserved	false	On MARK if needed, trace gsc_provenance_id to confirm producer/run/sample/source/provenance scope remains attached.
1	GSC	producer_or_observation_brokerage	gsc_semantic_channel	sis_a6be0cb39e19fd7a877f5789	ar_76b9749c5d00ec7beb1ce39b01b00a8f5dd3195bb1d40178e62713beb752f388	43eecf1345d2adfb6cb05920b7a4f9e3a84751ac7117f093c6a07e8b4831716e	mark_phase3_canonical_gsc_mitochondrial_disease:source_identities	assertion_registration_id=43eecf1345d2adfb6cb05920b7a4f9e3a84751ac7117f093c6a07e8b4831716e;identity_kind=semantic_channel;participant_role=semantic_channel;source_namespace=gsc_semantic_channel	3885	4	passed_compact_handle_preserved	false	On MARK if needed, trace gsc_semantic_channel to confirm producer/run/sample/source/provenance scope remains attached.
2	GSC	producer_or_observation_brokerage	gsc_semantic_channel	sis_37236d0d4a5a7551bbb08fa0	ar_b7b06ffb4f86388b850fc87ad681f2028771e8e216f407a5d3a195830d39f5f3	f6ceb91c3307a0a84290cc2585c9e0b1cdc82f435e4eaff192b5c598ed445946	mark_phase3_canonical_gsc_epilepsy:source_identities	assertion_registration_id=f6ceb91c3307a0a84290cc2585c9e0b1cdc82f435e4eaff192b5c598ed445946;identity_kind=semantic_channel;participant_role=semantic_channel;source_namespace=gsc_semantic_channel	4405	4	passed_compact_handle_preserved	false	On MARK if needed, trace gsc_semantic_channel to confirm producer/run/sample/source/provenance scope remains attached.
